Source: USDA National Nutrient Database for Standard Reference 28 Software v.3.5.5.2 2016-11-26
"Nutrients: Protein (g); Carbohydrate, by difference (g); Total lipid (fat) (g)"
"Food Groups: Baked Products; Breakfast Cereals; Cereal Grains and Pasta; Fats and Oils; Fruits and Fruit Juices; Legumes and Legume Products; Nut and Seed Products; Spices and Herbs; Vegetables and Vegetable Products"
Food Subset:Abridged List
Ordered by:Food Name
Measured by:100 g
Report Run at: 11-29-2016T06:38
NDB_NO,Description,"Protein"(g)Per 100 g,"Carbohydrate, by difference"(g)Per 100 g,"Total lipid (fat)"(g)Per 100 g,
08643,"Cereals ready-to-eat, GENERAL MILLS, Honey KIX",6.4,83.0,3.9,,
08050,"Cereals ready-to-eat, GENERAL MILLS, LUCKY CHARMS",7.67,80.89,5.02,,
08064,"Cereals ready-to-eat, GENERAL MILLS, Rice CHEX",6.4,85.09,1.89,,
08037,"Cereals ready-to-eat, granola, homemade",13.67,53.88,24.31,,
08649,"Cereals ready-to-eat, KASHI GOLEAN CRISP Cinnamon Crumble",22.1,62.59,8.19,,
08610,"Cereals ready-to-eat, KASHI Honey Sunshine",7.8,82.0,4.09,,
08660,"Cereals ready-to-eat, KELLOGG'S APPLE JACKS with marshmallows",4.3,89.6,2.8,,
08617,"Cereals ready-to-eat, KELLOGG's FROSTED MINI-WHEATS Bite Size Blueberry Muffin",8.6,84.8,1.6,,
08677,"Cereals ready-to-eat, KELLOGG'S FROSTED MINI-WHEATS Touch of Fruit in the Middle, Raspberry",8.8,82.1,1.8,,
08658,"Cereals ready-to-eat, KELLOGG'S KRAVE double chocolate cereal",7.1,75.9,11.2,,
08656,"Cereals ready-to-eat, NATURE'S PATH, Organic FLAX PLUS flakes",11.91,75.27,5.46,,
08665,"Cereals ready-to-eat, POST HONEY BUNCHES OF OATS with cinnamon bunches",7.1,82.8,5.0,,
08015,"Cereals ready-to-eat, POST, COCOA PEBBLES",4.8,85.7,4.1,,
08633,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS with vanilla bunches",7.9,81.8,5.1,,
08046,"Cereals ready-to-eat, POST, Honeycomb Cereal",6.01,86.63,2.93,,
08147,"Cereals ready-to-eat, POST, Shredded Wheat, original big biscuit",11.37,78.96,2.01,,
08148,"Cereals ready-to-eat, POST, Shredded Wheat, original spoon-size",11.8,81.4,2.1,,
08632,"Cereals ready-to-eat, QUAKER Oatmeal Squares, Golden Maple",11.3,78.04,4.83,,
08628,"Cereals ready-to-eat, QUAKER, Maple Brown Sugar LIFE Cereal",9.17,78.86,4.06,,
08018,"Cereals ready-to-eat, QUAKER, QUAKER CRUNCHY BRAN",6.37,83.68,4.06,,
08049,"Cereals ready-to-eat, QUAKER, QUAKER OAT LIFE, plain",9.98,77.74,4.43,,
08146,"Cereals ready-to-eat, QUAKER, QUAKER Puffed Wheat",16.26,76.39,2.15,,
08156,"Cereals ready-to-eat, rice, puffed, fortified",6.3,89.8,0.5,,
08161,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, with salt",1.71,14.76,0.46,,
08091,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.71,14.76,0.46,,
08164,"Cereals, corn grits, yellow, regular and quick, enriched, cooked with water, without salt",1.23,13.86,0.39,,
08168,"Cereals, CREAM OF RICE, cooked with water, with salt",0.9,11.5,0.1,,
08100,"Cereals, CREAM OF RICE, dry",6.3,82.4,0.5,,
08106,"Cereals, CREAM OF WHEAT, instant, dry",10.6,75.5,1.4,,
08107,"Cereals, CREAM OF WHEAT, instant, prepared with water, without salt",1.84,13.08,0.24,,
08177,"Cereals, MALT-O-MEAL, chocolate, dry",10.6,79.55,0.82,,
08133,"Cereals, oats, instant, fortified, with raisins and spice, prepared with water",1.98,17.91,0.95,,
08640,"Cereals, QUAKER, Instant Oatmeal Organic, Regular",16.0,67.0,6.3,,
08200,"Cereals, QUAKER, QUAKER MultiGrain Oatmeal, dry",12.64,72.62,2.73,,
08673,"Cereals, ready-to-eat, MALT-O-MEAL, Blueberry Mini SPOONERS",8.81,79.4,1.92,,
08143,"Cereals, WHEATENA, cooked with water",2.0,11.8,0.5,,
18147,"Cheesecake commercially prepared",5.5,25.5,22.5,,
09065,"Cherries, sour, red, canned, light syrup pack, solids and liquids",0.74,19.3,0.1,,
09068,"Cherries, sour, red, frozen, unsweetened",0.92,11.02,0.44,,
09071,"Cherries, sweet, canned, water pack, solids and liquids",0.77,11.76,0.13,,
09070,"Cherries, sweet, raw",1.06,16.01,0.2,,
11154,"Chicory roots, raw",1.4,17.51,0.2,,
11151,"Chicory, witloof, raw",0.9,4.0,0.1,,
18107,"Coffeecake, cinnamon with crumb topping, dry mix",4.8,77.7,12.0,,
18108,"Coffeecake, cinnamon with crumb topping, dry mix, prepared",5.5,52.8,9.6,,
18105,"Coffeecake, creme-filled with chocolate frosting",5.0,53.8,10.8,,
11163,"Collards, frozen, chopped, unprepared",2.69,6.46,0.37,,
18610,"CONTINENTAL MILLS, KRUSTEAZ Almond Poppyseed Muffin Mix, Artificially Flavored, dry",5.6,75.6,10.3,,
18196,"Cookies, brownies, dry mix, sugar free",2.9,80.4,12.5,,
18154,"Cookies, brownies, prepared from recipe",6.2,50.2,29.1,,
18159,"Cookies, chocolate chip, commercially prepared, regular, higher fat, enriched",5.1,65.36,24.72,,
18158,"Cookies, chocolate chip, commercially prepared, regular, lower fat",5.97,67.49,17.91,,
18163,"Cookies, chocolate chip, refrigerated dough",3.98,61.02,21.33,,
18166,"Cookies, chocolate sandwich, with creme filling, regular",5.21,71.0,19.14,,
18199,"Cookies, chocolate sandwich, with creme filling, special dietary",4.5,68.0,22.1,,
18168,"Cookies, chocolate sandwich, with extra creme filling",4.33,68.2,24.52,,
18157,"Cookies, chocolate wafers",6.6,72.7,14.2,,
18170,"Cookies, fig bars",3.7,70.9,7.3,,
18177,"Cookies, molasses",5.6,73.8,12.8,,
18178,"Cookies, oatmeal, commercially prepared, regular",6.2,68.7,18.1,,
18200,"Cookies, oatmeal, commercially prepared, special dietary",4.8,69.9,18.0,,
18184,"Cookies, oatmeal, prepared from recipe, with raisins",6.5,68.4,16.2,,
18182,"Cookies, oatmeal, refrigerated dough",5.4,59.1,18.9,,
18183,"Cookies, oatmeal, refrigerated dough, baked",6.0,65.7,21.0,,
18190,"Cookies, peanut butter sandwich, regular",8.8,65.6,21.1,,
18201,"Cookies, peanut butter sandwich, special dietary",10.0,50.8,34.0,,
18185,"Cookies, peanut butter, commercially prepared, regular",8.92,58.15,23.82,,
18186,"Cookies, peanut butter, commercially prepared, soft-type",5.3,57.7,24.4,,
18193,"Cookies, shortbread, commercially prepared, pecan",4.9,58.3,32.5,,
18192,"Cookies, shortbread, commercially prepared, plain",5.37,63.78,26.22,,
18202,"Cookies, sugar wafer, with creme filling, sugar free",3.57,66.26,28.57,,
18209,"Cookies, sugar wafers with creme filling, regular",3.84,70.64,23.24,,
18204,"Cookies, sugar, commercially prepared, regular (includes vanilla)",5.35,67.34,19.55,,
18210,"Cookies, vanilla sandwich with creme filling",4.5,72.1,20.0,,
20317,"Corn flour, yellow, masa, enriched",8.46,76.59,3.69,,
20314,"Corn grain, white",9.42,74.26,4.74,,
11170,"Corn, sweet, yellow, canned, brine pack, regular pack, solids and liquids",1.95,13.86,0.77,,
11177,"Corn, sweet, yellow, canned, drained solids, rinsed with tap water",2.18,13.02,1.43,,
11176,"Corn, sweet, yellow, canned, vacuum pack, regular pack",2.41,19.44,0.5,,
11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",2.55,19.3,0.67,,
11178,"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared",3.02,20.71,0.78,,
20324,"Cornmeal, white, self-rising, bolted, with wheat flour added, enriched",8.41,73.43,2.85,,
20325,"Cornmeal, white, self-rising, degermed, enriched",8.41,74.79,1.72,,
20320,"Cornmeal, whole-grain, white",8.12,76.89,3.59,,
11192,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",3.17,20.32,0.38,,
11196,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt",8.49,23.76,0.66,,
11191,"Cowpeas (blackeyes), immature seeds, raw",2.95,18.83,0.35,,
11201,"Cowpeas, leafy tips, raw",4.1,4.82,0.25,,
18236,"Cracker meal",9.3,80.9,1.7,,
18214,"Crackers, cheese, regular",10.93,59.42,22.74,,
18927,"Crackers, cheese, sandwich-type with cheese filling",8.92,58.76,24.41,,
18961,"Crackers, cream, GAMESA SABROSAS",7.01,64.55,20.37,,
18221,"Crackers, melba toast, rye (includes pumpernickel)",11.6,77.3,3.4,,
18224,"Crackers, rusk toast",13.5,72.3,7.2,,
18227,"Crackers, rye, wafers, seasoned",9.0,73.8,9.2,,
18966,"Crackers, saltines, whole wheat (includes multi-grain)",7.14,68.25,10.71,,
18229,"Crackers, standard snack-type, regular",6.64,61.3,26.43,,
18230,"Crackers, standard snack-type, sandwich, with cheese filling",9.3,61.7,21.1,,
18231,"Crackers, standard snack-type, sandwich, with peanut butter filling",11.47,58.38,24.54,,
18232,"Crackers, wheat, regular",7.3,70.73,16.4,,
18233,"Crackers, wheat, sandwich, with cheese filling",9.8,58.2,25.0,,
18234,"Crackers, wheat, sandwich, with peanut butter filling",13.5,53.8,26.7,,
09081,"Cranberry sauce, canned, sweetened",0.9,40.4,0.15,,
18969,"Cream puff, eclair, custard or cream filled, iced",4.41,37.43,18.52,,
11203,"Cress, garden, raw",2.6,5.5,0.7,,
18240,"Croissants, apple",7.4,37.1,8.7,,
18239,"Croissants, butter",8.2,45.8,21.0,,
18241,"Croissants, cheese",9.2,47.0,20.9,,
18242,"Croutons, plain",11.9,73.5,6.6,,
18243,"Croutons, seasoned",10.8,63.5,18.3,,
09083,"Currants, european black, raw",1.4,15.38,0.41,,
09084,"Currants, red and white, raw",1.4,13.8,0.2,,
09085,"Currants, zante, dried",4.08,74.08,0.27,,
18245,"Danish pastry, cheese",8.0,37.2,21.9,,
18244,"Danish pastry, cinnamon, enriched",7.0,44.6,22.4,,
02045,"Dill weed, fresh",3.46,7.02,1.12,,
11620,"Drumstick pods, raw",2.1,8.53,0.2,,
11211,"Edamame, frozen, unprepared",11.22,7.61,4.73,,
11213,"Endive, raw",1.25,3.35,0.2,,
18260,"English muffins, mixed-grain (includes granola)",9.1,46.3,1.8,,
04001,"Fat, beef tallow",0.0,--,100.0,,
09090,"Figs, canned, water pack, solids and liquids",0.4,13.99,0.1,,
09089,"Figs, raw",0.75,19.18,0.3,,
18973,"Focaccia, Italian flatbread, plain",8.77,35.82,7.89,,
09098,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra light syrup, solids and liquids",0.4,11.63,0.07,,
